chararacter	code_point	width_in_consolas	width_in_menlo	width_in_meiryo	width_in_hiragino_sans	eaw_width
❹	U+2779	1	-	2	2	A
❺	U+277A	1	-	2	2	A
❻	U+277B	1	-	2	2	A
❼	U+277C	1	-	2	2	A
❽	U+277D	1	-	2	2	A
❾	U+277E	1	-	2	2	A
❿	U+277F	1	-	2	2	A
➔	U+2794	-	1	2	-	N
➘	U+2798	-	1	2	-	N
➙	U+2799	-	1	2	-	N
➚	U+279A	-	1	2	-	N
➛	U+279B	-	1	2	-	N
➜	U+279C	-	1	2	-	N
➝	U+279D	-	1	2	-	N
➞	U+279E	-	1	2	-	N
➟	U+279F	-	1	2	-	N
➠	U+27A0	-	1	2	-	N
➡	U+27A1	-	1	2	2	N
➢	U+27A2	-	1	2	-	N
➣	U+27A3	-	1	2	-	N
➤	U+27A4	-	1	2	-	N
➥	U+27A5	-	1	2	-	N
➦	U+27A6	-	1	2	-	N
➨	U+27A8	-	1	2	-	N
➩	U+27A9	-	1	2	-	N
➪	U+27AA	-	1	2	-	N
➫	U+27AB	-	1	2	-	N
➬	U+27AC	-	1	2	-	N
➭	U+27AD	-	1	2	-	N
➮	U+27AE	-	1	2	-	N
➯	U+27AF	-	1	2	-	N
➱	U+27B1	-	1	2	-	N
➲	U+27B2	-	1	2	-	N
➳	U+27B3	-	1	2	-	N
➴	U+27B4	-	1	2	-	N
➵	U+27B5	-	1	2	-	N
➶	U+27B6	-	1	2	-	N
➷	U+27B7	-	1	2	-	N
➸	U+27B8	-	1	2	-	N
➹	U+27B9	-	1	2	-	N
➺	U+27BA	-	1	2	-	N
➻	U+27BB	-	1	2	-	N
➼	U+27BC	-	1	2	-	N
➽	U+27BD	-	1	2	-	N
➾	U+27BE	-	1	2	-	N
⧺	U+29FA	-	1	2	2	N
⧻	U+29FB	-	1	2	2	N
⬚	U+2B1A	-	1	-	2	N
ﬀ	U+FB00	1	-	1	2	N
ﬃ	U+FB03	1	-	2	2	N
ﬄ	U+FB04	1	-	2	2	N
